time,open,high,low,close,Volume,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,20w SMA,21w EMA,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot
1722168000,67809.4,68095.7,67559.2,67616.9,1185617,66587.11,,,,,66857.198,,,62340.46624999997,,
1722182400,67619.8,68310.9,67600.9,68093.8,860101,66663.08166666667,,,,,66889.22200000001,,,62355.96583333331,,
1722196800,68093.8,68255.1,67787.3,68224.1,806928,66734.15333333334,,,65657.4,62168.25535713089,66917.004,,,62368.96166666664,,
1722211200,68224,69800,68140.6,69356.3,5268634,66818.55166666667,,,,,66959.53,,,62385.613333333305,,
1722225600,69356.4,69887.9,69280,69525.4,2794140,66916.19499999999,,,,,67006.994,,,62403.302499999976,,
1722240000,69528.1,69847.9,69364.9,69585.5,1953421,67007.88666666666,,,,,67054.782,,,62421.714999999975,,
1722254400,69585,70060.6,67618.6,68057.8,9906111,67045.18333333332,,,,,67081.558,,,62434.98208333331,,
1722268800,68059.8,68090.4,66320.8,67268.9,8391200,67047.07333333332,,,,,67089.126,,,62445.144166666636,,
1722283200,67268.9,67517.7,66535.6,66745.7,2215349,67048.49166666665,,,,,67080.44,,,62452.751249999965,,
1722297600,66745.8,66849.1,65800,66577.7,4820908,67047.89833333333,,,,,67063.23800000001,,,62458.730833333306,,
1722312000,66577.7,66967.9,66278.9,66913.5,1872837,67053.47666666665,,,,,67037.88400000002,,,62463.34374999997,,
1722326400,66913.6,66953.4,66283.1,66536.7,1268907,67054.21166666666,,,,,67010.69400000002,,,62465.065833333305,,
1722340800,66536.5,66900,65500,66187.9,4187213,67043.42666666665,,,,,66989.65200000002,,,62470.989166666644,,
1722355200,66188,66518,65471.7,65879.5,3383918,67020.91833333332,,,,,66956.92400000003,,,62474.69624999997,,
1722369600,65880,66315.8,65225.1,66143.6,1875434,67004.10833333332,,,,,66938.56800000003,,,62480.23874999998,,
1722384000,66143.7,66372.9,65829.3,66016.3,1568047,66984.44499999999,,,,,66894.49400000004,,,62486.82458333331,,
1722398400,66014.8,66510.4,65438.6,66171.9,3080880,66975.32666666665,,,,,66867.19200000002,,,62495.347916666644,,
1722412800,66171.9,66326.2,65900.9,66045.9,1109468,66961.24999999999,,,,,66838.74800000002,,,62505.130416666645,,
1722427200,66044.4,66811.6,65926.3,66330.1,3530512,66947.08499999999,,,,,66834.12600000003,,,62516.21416666665,,
1722441600,66331.9,66795.1,64888.8,65216.3,5158628,66910.05999999998,,,,,66805.07000000004,,,62520.54249999999,,
1722456000,65212,65385.3,64475.2,64579.6,3908938,66850.03333333331,,,,,66765.25400000003,,,62522.56666666665,,
1722470400,64578,64804.1,63671.7,63875.5,4417075,66783.02166666665,,,,,66732.33400000003,,,62520.98083333332,,
1722484800,63874,64437.4,63508,64276,3216497,66733.62166666664,,,,,66699.31800000003,,,62520.264583333315,,
1722499200,64276.1,64650,64240.9,64620,1401402,66685.35666666664,,,,,66670.94800000003,,,62521.93874999998,,
1722513600,64620.1,64899,62583.2,62835.5,5921967,66614.92499999997,,,,,66606.71400000004,,,62516.07874999998,,
1722528000,62838,63418.4,62222,63338.7,4943417,66533.56999999998,,,,,66546.46600000003,,,62512.32416666664,,
1722542400,63338.7,65574.3,63263.5,65290,5101063,66496.11999999997,,,,,66529.15800000002,,,62516.79083333332,,
1722556800,65290,65559.3,63575.7,64532.7,4087018,66447.19666666664,,,,,66506.91200000003,,,62517.46999999999,,
1722571200,64532.8,64580.2,63730.1,64069.3,2411679,66405.66499999998,,,,,66481.34200000003,,,62516.250416666655,,
1722585600,64069.4,64900,63961,64590,2125695,66371.0133333333,,,,,66491.91000000003,,,62517.49041666665,,
1722600000,64590.1,65473.4,62328.6,63339.6,10809764,66317.16666666664,,,,,66476.74200000003,,,62514.56041666666,,
1722614400,63334.1,63533,62432.2,62554,3530443,66267.70833333331,,,,,66446.54600000003,,,62508.15333333332,,
1722628800,62554.1,63106.4,61090.1,61387.8,7110979,66192.0583333333,,,,,66379.20200000002,,,62500.795833333315,,
1722643200,61387.8,61880,60404.2,61803,5164532,66121.46666666665,,,,,66322.062,,,62496.65874999998,,
1722657600,61803,61887.9,61307.8,61582.9,1368384,66047.06166666665,,,,,66238.43400000002,,,62493.35458333333,,
1722672000,61585.8,61930.4,61375.2,61846.3,1307611,65971.98166666664,,,,,66135.09400000003,,,62495.95583333332,,
1722686400,61846.4,62127.7,60752,60810,2729988,65882.89166666665,,,,,66014.07000000002,,,62496.05583333331,,
1722700800,60810,61238,59812.5,60165.9,7324315,65791.57333333332,,,,,65871.60400000002,,,62499.904999999984,,
1722715200,60166,60795,59755.5,60658.1,3773559,65713.41166666665,,,,,65734.34400000003,,,62501.67249999998,,
1722729600,60658.1,61047.9,60246,60671.9,1448897,65656.91666666664,,,,,65588.45800000001,,,62499.27416666665,,
1722744000,60672,60865.4,60195,60306,997341,65593.71666666665,,,,,65436.69200000002,,,62497.99499999997,,
