time,open,high,low,close,Volume,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,20w SMA,21w EMA,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot
1759701600,122743.8,123300,122743.8,123261.8,539334,122580.0250000001,,,,,122759.9620000003,,,115699.96958333348,,
1759705200,123261.7,123596,123236.8,123504.1,513449,122632.02833333341,,,112509.09000000001,110684.39468880917,122783.7800000003,,,115760.39500000016,,
1759708800,123504.1,124397.9,123121.1,123382.4,2071882,122681.63500000008,,,,,122801.2880000003,,,115818.25916666682,,
1759712400,123382.4,124265.8,123230.3,124069.6,806773,122742.6700000001,,,,,122837.4340000003,,,115878.06666666683,,
1759716000,124067.9,124275,123518.9,124157,971323,122796.04833333343,,,,,122877.75200000031,,,115938.54041666682,,
1759719600,124157,124172.2,123783.5,123878.8,337396,122822.19500000008,,,,,122917.2820000003,,,115998.01875000015,,
1759723200,123877.4,124018,123479.1,123584.3,1169826,122839.13166666677,,,,,122950.9400000003,,,116057.28041666682,,
1759726800,123584.3,123750,123318.2,123587.7,491366,122864.25666666676,,,,,122977.0700000003,,,116116.93750000017,,
1759730400,123587.7,124181.8,123587.6,123959.1,714280,122887.6950000001,,,,,123005.58800000028,,,116177.68541666683,,
1759734000,123959.1,124045.7,123284,123405.7,610764,122899.78000000009,,,,,123022.5160000003,,,116236.37958333349,,
1759737600,123405,123888,123405,123861,321055,122923.1300000001,,,,,123050.2280000003,,,116295.8470833335,,
1759741200,123861.1,124072.1,123786.9,123957.4,770283,122950.53333333344,,,,,123082.30000000028,,,116355.71625000016,,
1759744800,123957.4,124162.3,123909.3,123976.5,300756,122975.0250000001,,,,,123115.84800000027,,,116418.50791666683,,
1759748400,123975.9,124560.7,123745.5,124227.5,1233839,123007.77833333342,,,,,123155.68800000027,,,116481.3520833335,,
1759752000,124223.8,124683.5,124178.7,124546.3,1186541,123047.86500000009,,,,,123203.52400000028,,,116544.48583333351,,
1759755600,124546.3,125061.4,124363.6,125016.3,3116365,123099.7650000001,,,,,123263.79000000028,,,116608.3783333335,,
1759759200,125016.2,125327.4,124335.3,124508.6,2152619,123143.21833333344,,,,,123313.29400000027,,,116673.6258333335,,
1759762800,124508.5,125412.8,124493.7,124988.9,1333400,123188.34666666677,,,,,123365.09000000027,,,116740.1358333335,,
1759766400,124988.9,125561.3,124808.5,125491.6,1074829,123237.65333333342,,,,,123434.33400000028,,,116806.88916666684,,
1759770000,125491.6,125870.5,125152.8,125318.4,1576072,123283.63833333344,,,,,123504.29000000026,,,116871.11125000016,,
1759773600,125318.4,126245.2,125069,126044.6,2116356,123343.1250000001,,,,,123589.92200000027,,,116939.05750000017,,
1759777200,126047.3,126149.9,125259.1,125419,1377835,123394.21166666677,,,,,123662.42600000025,,,117006.73166666685,,
1759780800,125419,125544.7,125040.1,125224.6,477139,123442.97000000012,,,,,123734.64000000026,,,117073.11208333352,,
1759784400,125224.7,125276.2,124501.6,125100,1349464,123490.71166666677,,,,,123796.64000000026,,,117138.25375000018,,
1759788000,125100,125297,124749.9,125041.4,825388,123538.82666666679,,,,,123859.15200000028,,,117202.74791666683,,
1759791600,125041.4,125095.8,124618.9,124646.1,493275,123582.87833333344,,,,,123907.61600000027,,,117265.28666666683,,
1759795200,124647.5,124907.4,124582.4,124885.1,797760,123630.40666666678,,,,,123958.97600000027,,,117328.82500000017,,
1759798800,124885,125079,124444.4,124698.5,579201,123668.73000000013,,,,,124004.66600000027,,,117392.47625000015,,
1759802400,124698.4,124698.5,124148.8,124264.6,640975,123705.98333333344,,,,,124046.40200000028,,,117454.45291666684,,
1759806000,124264.6,124566.6,124112.4,124322.2,344074,123747.67666666677,,,,,124084.78600000027,,,117515.98500000018,,
1759809600,124320,124666.6,124100.1,124522,698865,123793.66000000012,,,,,124093.90600000028,,,117577.97708333352,,
1759813200,124522,124675.3,124275.6,124438.3,1450797,123837.73500000012,,,,,124106.44400000028,,,117639.67000000019,,
1759816800,124438.8,124528.5,123819.5,123927.8,1573831,123876.3000000001,,,,,124080.84000000027,,,117699.60416666685,,
1759820400,123927.8,124082.7,123621.4,123742.2,2324210,123905.33666666677,,,,,124052.95400000029,,,117759.30500000018,,
1759824000,123742.2,124050,123369,123910.6,1870472,123938.58333333346,,,,,124031.07600000028,,,117820.35708333353,,
1759827600,123910.6,124305.2,123907,124171.9,474058,123971.0666666668,,,,,124019.83000000028,,,117882.28333333351,,
1759831200,124167.4,124474.6,124080.6,124354.8,553955,124005.02833333347,,,,,124014.22200000029,,,117944.39416666685,,
1759834800,124354.8,124585.8,124250,124519.8,840663,124040.12500000013,,,,,124043.89400000028,,,118007.73666666685,,
1759838400,124519.7,125216.5,124403.1,124981.5,1075669,124086.85333333345,,,,,124082.68000000028,,,118072.58458333352,,
1759842000,124981.6,125118.8,123399.7,123938.8,3484934,124112.45000000013,,,,,124091.41200000029,,,118133.47916666685,,
1759845600,123937.7,124042.9,122602.6,122770,3037159,124090.85000000012,,,,,124084.43200000029,,,118189.60375000018,,
1759849200,122770,122906.6,121188.1,121887.9,6597956,124058.79166666679,,,,,124058.3840000003,,,118241.60750000019,,
1759852800,121887.9,122121.5,120837.1,121722.3,3515319,124000.69666666677,,,,,124031.49600000032,,,118292.94833333352,,
1759856400,121722.4,121866.4,121118,121154.3,1091837,123934.32666666679,,,,,123997.8780000003,,,118341.98666666685,,
1759860000,121154.3,121322.4,120604.9,120904.9,1726029,123866.00000000013,,,,,123949.85600000029,,,118389.80708333354,,
1759863600,120904.8,122022.1,120872,121662.6,1386883,123814.8066666668,,,,,123921.21800000028,,,118440.83958333354,,
1759867200,121662.6,122229.8,121662.6,121970.1,756630,123770.38833333345,,,,,123899.9220000003,,,118493.27583333355,,
1759870800,121970.1,122319.8,121786.7,122038.8,489065,123753.76500000013,,,,,123888.4080000003,,,118545.66250000022,,
1759874400,122038.9,122198.2,121815.1,122021,558561,123736.74500000011,,,,,123874.25000000029,,,118597.43375000023,,
1759878000,122020.9,122021,121282.6,121338.6,522933,123700.68500000011,,,,,123846.1460000003,,,118646.21333333355,,
1759881600,121338.7,122113.5,121300,121939.6,679310,123681.02833333345,,,,,123819.7020000003,,,118697.56750000021,,
1759885200,121940.8,122078.5,121623.2,121975.9,423702,123660.78833333343,,,,,123789.13800000028,,,118750.16708333354,,
1759888800,121975.9,122249.6,121838,122065.7,532781,123644.10500000011,,,,,123762.80400000028,,,118802.7325000002,,
1759892400,122064.6,122064.6,121240,121401.3,792851,123620.20666666677,,,,,123709.43800000029,,,118852.55791666686,,
1759896000,121402.2,121923.5,121100,121918,617889,123597.07333333344,,,,,123664.65800000029,,,118904.86083333353,,
1759899600,121918.1,121918.1,121168.9,121384.9,793001,123568.58000000009,,,,,123614.7800000003,,,118954.99833333354,,
1759903200,121384.7,121855.5,121075.9,121801.4,796947,123548.02166666675,,,,,123579.1220000003,,,119006.64541666688,,
1759906800,121801.3,121895.2,121348.9,121615.5,806446,123531.37166666678,,,,,123539.67800000029,,,119057.0687500002,,
1759910400,121613.8,122876.1,121533.5,122378,2175066,123525.52333333343,,,,,123508.05600000027,,,119110.68333333352,,
1759914000,122378,122646.8,122371.7,122525,767184,123521.87666666675,,,,,123490.44200000029,,,119164.86833333354,,
1759917600,122525.1,123100,122494.9,122942.4,817696,123516.55333333343,,,,,123472.0700000003,,,119221.46125000018,,
1759921200,122942.4,123200,122734.4,122878.7,719016,123506.13000000009,,,,,123450.49600000029,,,119277.74708333352,,
1759924800,122878.6,123053.5,122528,122625.4,646288,123493.51333333342,,,,,123423.47400000028,,,119333.23125000019,,
1759928400,122625.4,122772.7,121645.6,122585.2,1679724,123468.77333333343,,,,,123390.62800000029,,,119387.21916666687,,
1759932000,122585.3,123371.7,122074,122311,2384842,123438.00666666677,,,,,123345.92200000027,,,119439.19291666686,,
1759935600,122311,122613.1,121951.9,122170.8,923267,123409.5400000001,,,,,123289.0120000003,,,119489.81291666687,,
1759939200,122170.5,123115.1,122096.3,123028.7,967030,123400.28000000009,,,,,123259.41400000028,,,119543.27416666686,,
1759942800,123028.7,124166.5,122936.2,124035.2,2592445,123407.73833333343,,,,,123240.34000000027,,,119600.99833333351,,
1759946400,124035.2,124188.7,123373.2,123419.8,2322995,123398.75000000007,,,,,123198.90400000027,,,119655.79666666685,,
1759950000,123419.8,123729.7,123120,123403,1284721,123398.70500000007,,,,,123160.59600000028,,,119710.36750000018,,
1759953600,123402.7,123684.3,122748.4,122811.2,1224698,123381.20833333342,,,,,123095.92800000026,,,119760.51333333351,,
1759957200,122810,123292.8,122756.2,123239.9,536605,123369.25000000007,,,,,123052.34600000025,,,119812.34625000019,,
1759960800,123239.9,123386.7,123169.3,123169.3,326433,123355.79666666673,,,,,123011.24000000027,,,119859.21875000019,,
1759964400,123168,123510.8,123018.1,123270.1,318514,123339.84000000007,,,,,122974.64200000025,,,119905.50916666686,,
1759968000,123270.1,123326.1,122804.9,122805.2,462901,123310.82166666674,,,,,122929.91800000027,,,119949.43208333354,,
1759971600,122805.3,122828.2,122315,122520.4,878142,123269.22333333342,,,,,122887.40400000027,,,119993.91875000019,,
1759975200,122520.3,122520.4,121438.6,121584.2,998638,123220.48333333341,,,,,122821.38600000028,,,120034.92708333353,,
1759978800,121584.2,122111,121575.9,122015.1,765318,123170.92000000007,,,,,122767.71800000027,,,120077.22583333352,,
1759982400,122018.8,122246.8,121878.1,122125.8,421778,123114.8233333334,,,,,122724.94200000027,,,120120.19833333352,,
1759986000,122125.8,122181.1,121814.6,122096.4,454833,123061.1233333334,,,,,122680.42600000027,,,120163.37500000019,,
1759989600,122096.4,122166.6,121871.7,121944.3,261955,122992.78500000008,,,,,122628.87200000026,,,120206.40125000018,,
1759993200,121944.2,122048.7,121711.8,121890.2,446981,122933.97166666674,,,,,122577.91000000028,,,120248.23833333353,,
1759996800,121890.2,121952.3,121135.4,121240.6,1354259,122867.57166666673,,,,,122524.16600000027,,,120286.48791666685,,
1760000400,121240.5,121832.8,121240.5,121799.7,661179,122812.56666666672,,,,,122485.31600000028,,,120326.9950000002,,
1760004000,121799.7,122330,121642.6,122169.6,558961,122764.7033333334,,,,,122450.49600000028,,,120369.0550000002,,
1760007600,122170.6,122832.7,122170.6,122719.8,954301,122732.5983333334,,,,,122421.45400000029,,,120413.3137500002,,
1760011200,122719.9,123739,122693.3,123535.1,3049685,122710.0983333334,,,,,122405.06000000027,,,120461.34833333353,,
1760014800,123535.2,123621.7,122244.4,122372.1,2471941,122671.32500000008,,,,,122362.10600000029,,,120499.50791666686,,
1760018400,122372,122602.2,120788,121309,5648892,122622.06500000008,,,,,122288.65600000028,,,120529.85208333354,,
1760022000,121309,121796.9,120689,121134.9,3299629,122568.94333333342,,,,,122232.57800000029,,,120560.36916666686,,
1760025600,121135,121450,119780,119847.5,5606993,122491.03500000009,,,,,122174.12800000029,,,120586.25333333355,,
1760029200,119847.5,121075.5,119669.9,121008.2,2355170,122433.86666666674,,,,,122156.53400000028,,,120615.2500000002,,
1760032800,121008.2,121140.4,120427.5,120703.8,795114,122380.1333333334,,,,,122136.16400000027,,,120643.15708333351,,
1760036400,120703.8,121159.1,120700.8,120990.8,564177,122334.27666666674,,,,,122132.89400000026,,,120671.2575000002,,
1760040000,120995.8,121235.2,120889.2,121141.5,598588,122288.12500000007,,,,,122137.62600000028,,,120699.9475000002,,
1760043600,121141.4,121531.2,121084.8,121494,362608,122243.4933333334,,,,,122134.25400000026,,,120730.48500000019,,
1760047200,121494.5,121786.1,121432,121707.2,411018,122199.36666666673,,,,,122128.99600000028,,,120761.78583333353,,
1760050800,121707.2,121772.6,121375,121662,533012,122151.73666666672,,,,,122121.46000000025,,,120792.36166666685,,
1760054400,121662.1,121886,121617.5,121771.6,550308,122098.23833333337,,,,,122116.47200000027,,,120822.5600000002,,
1760058000,121771.6,121888,121510,121656.3,386245,122060.19666666673,,,,,122122.82600000026,,,120852.24458333354,,
1760061600,121656.3,121665,120903.3,121050.8,2605902,122031.5433333334,,,,,122105.05000000026,,,120879.61958333354,,
1760065200,121050.8,121568.2,120904.9,121021.2,700299,122017.09833333339,,,,,122085.95600000025,,,120907.2375000002,,
1760068800,121020.8,121384.9,121014.9,121231.4,813073,122008.91666666672,,,,,122069.27000000027,,,120936.89000000019,,
1760072400,121231.4,121592.6,120972.4,121568.5,905476,122015.82000000005,,,,,122072.61400000026,,,120968.72041666687,,
1760076000,121568.4,121752.6,121231.8,121345.5,816650,122023.16333333337,,,,,122061.16400000027,,,120999.6987500002,,
1760079600,121345.5,121390.5,120866.2,120938.4,897174,122011.09333333337,,,,,122052.23400000026,,,121029.72041666687,,
1760083200,120941.5,121670.7,120918.8,121633.5,526906,122005.48333333338,,,,,122048.87600000025,,,121063.66708333352,,
1760086800,121633.5,121780.9,121267.8,121296.9,663394,121993.11833333338,,,,,122042.50400000025,,,121099.0187500002,,
1760090400,121296.9,121537.7,121230,121499.7,245635,121984.43000000004,,,,,122024.93800000026,,,121134.69333333353,,
1760094000,121499.7,121659.3,121399.7,121554.8,414767,121988.03333333337,,,,,122005.53400000025,,,121170.0212500002,,
1760097600,121554.8,121695.1,121426.7,121594.6,315490,121982.28333333338,,,,,121978.57800000026,,,121205.74416666686,,
1760101200,121594.7,122531.3,121356.1,121653.7,3422866,121976.91333333336,,,,,121954.07800000026,,,121240.09291666686,,
1760104800,121651.4,122057.1,120465.2,120470.5,3297351,121950.32666666669,,,,,121910.98000000026,,,121268.71208333355,,
1760108400,120470.4,120612.7,118450.4,119013,10177514,121910.5216666667,,,,,121839.53600000025,,,121293.38750000022,,
1760112000,119012.9,119441.2,118106.8,118170.9,4200095,121848.07000000004,,,,,121756.73400000024,,,121315.67375000022,,
