time,open,high,low,close,Volume,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,20w SMA,21w EMA,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot
1767772800,79.88,82.4,78.57,78.98,73040.518,,,,,,,,,,,
1767787200,78.98,79.99,76.5,77.24,106358.005,,,,,,,,,,,
1767801600,77.3,79.1,77.3,78.57,30376.674,,,,,,,,,,,
1767816000,78.6,79.01,77.4,78.92,10613.846,,,,,,,,,,,
1767830400,78.86,79.73,77.08,78.11,18850.784,,,,,,,,,,,
1767844800,78.16,78.16,75.61,76.06,39882.515,,,,,,,,,,,
1767859200,76.06,76.5,75.4,75.62,20450.406,,,,,,,,,,,
1767873600,75.6,76.12,73.01,75.85,60815.484,,,,,,,,,,,
1767888000,75.87,76.56,75.3,76.01,22071.735,,,,,,,,,,,
1767902400,76,77.21,75.97,76.85,17437.107,,,,,,,,,,,
1767916800,76.85,77.65,75.78,76.76,17832.453,,,,,,,,,,,
1767931200,76.76,77.63,76.52,77.27,36633.86,,,,,,,,,,,
1767945600,77.27,78.45,77.1,78.05,44655.407,,,,,,,,,,,
1767960000,78.05,80.31,77.3,80.19,102292.849,,,,,,,,,,,
1767974400,80.19,80.53,79.26,79.97,66342.15,,,,,,,,,,,
1767988800,79.95,80.29,79.64,79.86,18934.764,,,,,,,,,,,
1768003200,79.85,80.2,79.22,79.99,14842.611,,,,,,,,,,,
1768017600,79.99,80.07,79.87,79.89,10519.481,,,,,,,,,,,
1768032000,79.89,80.1,79.8,79.96,9595.059,,,,,,,,,,,
1768046400,79.96,80.11,79.79,80.04,86968.734,,,,,,,,,,,
1768060800,80.04,82,79.95,80.16,58013.877,,,,,,,,,,,
1768075200,80.19,80.66,79.71,79.86,14300.587,,,,,,,,,,,
1768089600,79.85,80.49,79.71,80.02,11097.994,,,,,,,,,,,
1768104000,80.03,80.31,79.5,80.1,9946.831,,,,,,,,,,,
1768118400,80.12,80.25,79.98,80.01,6241.171,,,,,,,,,,,
1768132800,80.02,80.2,79.99,80.04,7563.202,,,,,,,,,,,
1768147200,80.05,80.47,80.02,80.21,9402.392,,,,,,,,,,,
1768161600,80.25,81.88,80.1,81.65,44798.547,,,,,,,,,,,
1768176000,81.64,84.31,81.56,83.43,191147.681,,,,,,,,,,,
1768190400,83.44,84.74,83.22,84.25,95823.659,,,,,,,,,,,
1768204800,84.24,84.65,83.7,83.93,72113.198,,,,,,,,,,,
1768219200,83.95,85.97,83.72,85.45,218651.194,,,,,,,,,,,
1768233600,85.44,86.35,85.04,85.73,99563.187,,,,,,,,,,,
1768248000,85.69,85.8,83.3,84.52,96063.896,,,,,,,,,,,
1768262400,84.57,86.09,83.54,85.49,120673.153,,,,,,,,,,,
1768276800,85.5,86.02,84.74,85.29,108093.519,,,,,,,,,,,
1768291200,85.29,86.18,85.27,85.8,89500.629,,,,,,,,,,,
1768305600,85.81,89.17,85.47,88.74,308147.258,,,,,,,,,,,
1768320000,88.74,89.06,86.3,87.62,181798.478,,,,,,,,,,,
1768334400,87.63,88.2,86.1,88.01,99146.531,,,,,,,,,,,
1768348800,88.02,90.87,87.64,90.8,182411.41,,,,,,,,,,,
1768363200,90.8,91.7,89.28,90.19,244911.749,,,,,,,,,,,
1768377600,90.2,90.9,89.4,90.66,133324.21,,,,,,,,,,,
1768392000,90.66,92.23,90.25,91.8,393200.196,,,,,,,,,,,
1768406400,91.8,93,89.81,92.75,265290.311,,,,,,,,,,,
1768420800,92.73,93.81,91.26,92.32,250337.116,,,,,,,,,,,
1768435200,92.34,93.12,86.55,87.92,585277.966,,,,,,,,,,,
1768449600,87.93,90.31,87.21,89.46,278165.914,,,,,,,,,,,
1768464000,89.45,91.66,89.09,91.31,204316.511,,,,,,,,,,,
1768478400,91.33,91.45,88.05,90.7,414989.567,,,,,,82.84819999999999,,,,,
1768492800,90.72,92.97,90.05,92.48,306618.729,,,,,,83.1182,,,,,
1768507200,92.49,92.92,90.35,91.45,280166.167,,,,,,83.4024,,,,,
1768521600,91.48,92.14,89.64,90.36,260508.653,,,,,,83.6382,,,,,
1768536000,90.36,91.9,89.94,91.03,200173.809,,,,,,83.88040000000001,,,,,
1768550400,91.03,91.74,90.22,91.11,170201.578,,,,,,84.14040000000001,,,,,
1768564800,91.11,91.14,87.12,88.03,555888.205,,,,,,84.37979999999999,,,,,
1768579200,88.05,89.84,87.99,89.46,178807.14,,,,,,84.6566,,,,,
1768593600,89.47,90.3,88.9,90.1,82290.804,,,,,,84.9416,,,,,
1768608000,90.09,90.18,89.84,90.09,38205.271,,,,,,85.22319999999999,,,,,
1768622400,90.09,90.13,89.82,90.09,32863.944,84.11016666666666,,,,,85.488,,,,,
1768636800,90.09,90.14,89.93,90.06,21431.887,84.29483333333333,,,,,85.75399999999999,,,,,
1768651200,90.06,90.11,90.01,90.11,17871.135,84.50933333333334,,,,,86.0108,,,,,
1768665600,90.11,90.13,90.01,90.08,16107.549,84.70116666666667,,,,,86.25139999999999,,,,,
1768680000,90.08,90.5,90.03,90.13,31508.572,84.88799999999999,,,,,86.45020000000001,,,,,
1768694400,90.15,90.34,90.15,90.31,23187.715,85.09133333333332,,,,,86.65700000000001,,,,,
1768708800,90.32,90.43,89.9,90.22,52089.362,85.32733333333334,,,,,86.8642,,,,,
1768723200,90.22,90.38,90.1,90.34,24772.724,85.57266666666666,,,,,87.0712,,,,,
1768737600,90.35,90.56,90.21,90.29,38614.26,85.81333333333333,,,,,87.2792,,,,,
1768752000,90.3,90.55,90.22,90.5,33164.527,86.05483333333333,,,,,87.49,,,,,
1768766400,90.5,94,90.5,93.03,335692.823,86.3245,,,,,87.74980000000001,,,,,
1768780800,93.03,94.07,92.35,93.14,260913.091,86.59750000000001,,,,,88.0094,,,,,
1768795200,93.16,94.09,92.84,93.27,99064.736,86.86416666666668,,,,,88.2776,,,,,
1768809600,93.28,93.68,92.51,93.06,109847.213,87.11433333333333,,,,,88.5384,,,,,
1768824000,93.07,94.27,92.97,93.96,148854.117,87.34383333333334,,,,,88.81560000000002,,,,,
1768838400,93.96,94.88,93.8,94.48,110498.322,87.58566666666667,,,,,89.105,,,,,
1768852800,94.46,94.96,93.63,93.75,97151.874,87.81716666666667,,,,,89.3792,,,,,
1768867200,93.76,94.07,92.74,93.4,179413.291,88.04066666666668,,,,,89.64300000000001,,,,,
1768881600,93.39,94.71,93.39,94.37,205114.716,88.282,,,,,89.89740000000002,,,,,
1768896000,94.38,95.83,94.31,95.81,209062.859,88.54616666666668,,,,,90.145,,,,,
1768910400,95.81,96,93.23,94.05,462598.185,88.77966666666667,,,,,90.34100000000001,,,,,
1768924800,94.05,95.1,93.69,94.53,176678.462,89.01916666666668,,,,,90.55300000000001,,,,,
1768939200,94.52,95,93.8,94.94,152201.219,89.27050000000001,,,,,90.7428,,,,,
1768953600,94.96,95.55,93.55,94.05,337081.522,89.50433333333334,,,,,90.9092,,,,,
1768968000,94.05,95.18,93.97,94.78,216095.057,89.74900000000001,,,,,91.1144,,,,,
1768982400,94.78,95.3,94.52,94.83,149643.273,89.99600000000001,,,,,91.30120000000001,,,,,
1768996800,94.83,95.13,92.31,93.72,472270.655,90.224,,,,,91.46980000000002,,,,,
1769011200,93.73,94,90.36,91.39,445087.123,90.41033333333333,,,,,91.58160000000002,,,,,
1769025600,91.39,93.49,90.91,91.13,315029.541,90.56833333333334,,,,,91.62940000000002,,,,,
1769040000,91.14,93.46,90.99,93.44,324028.077,90.73516666666667,,,,,91.74580000000002,,,,,
1769054400,93.44,94.35,93.16,94.16,168370.344,90.90033333333334,,,,,91.86880000000001,,,,,
1769068800,94.16,94.37,93.4,93.59,131081.274,91.06133333333334,,,,,91.92460000000001,,,,,
1769083200,93.59,95.88,92.93,95.62,334523.889,91.23083333333334,,,,,92.03320000000002,,,,,
1769097600,95.64,96.64,95.09,95.9,345454.897,91.40033333333334,,,,,92.138,,,,,
1769112000,95.91,96.97,95.8,96.95,136061.793,91.60750000000002,,,,,92.241,,,,,
1769126400,96.95,99.24,96.65,98.81,425756.877,91.82950000000001,,,,,92.36220000000002,,,,,
1769140800,98.81,99.54,98.43,98.7,281365.094,92.05300000000003,,,,,92.48980000000002,,,,,
1769155200,98.69,99.15,97.52,99.11,400769.692,92.27483333333335,,,,,92.7136,,,,,
1769169600,99.12,100.52,98.72,100.04,645511.134,92.46316666666668,,,,,92.9252,,,,,
1769184000,100.04,101.99,100.03,101.84,607082.558,92.70016666666669,,,,,93.13580000000002,,,,,
1769198400,101.84,104.39,101.63,104.14,296093.579,92.96900000000001,,,,,93.40460000000002,,,,,
1769212800,104.14,104.49,103.01,103.47,178377.639,93.18016666666668,,,,,93.62440000000001,,,,,
1769227200,103.47,103.66,103.25,103.43,59241.898,93.40083333333335,,,,,93.86400000000002,,,,,
1769241600,103.43,104.23,103.06,103.08,144323.072,93.60783333333333,,,,,94.11840000000002,,,,,
