time,open,high,low,close,Volume
1767812400,25956,25956.25,25901,25919.25,13540
1767813300,25919.25,25922,25890,25899.25,11969
1767814200,25899.5,25921.25,25891.75,25914.5,9595
1767815100,25914.75,25917.75,25901,25902.75,5695
1767816000,25902.75,25913.5,25864,25869.75,12432
1767816900,25869.75,25887.5,25852.5,25860.75,14981
1767817800,25860.25,25862.25,25814.5,25832.5,17264
1767818700,25833,25847,25818.25,25835,22000
1767819600,25835,25836,25822,25827.5,7555
1767820500,25827,25835.5,25820,25831,2174
1767821400,25830.25,25832.75,25827.25,25830.5,1167
1767822300,25830.75,25839.25,25830,25835.75,2036
1767826800,25838.75,25849.75,25826,25826.5,1891
1767827700,25827.75,25837.75,25822.75,25830,781
1767828600,25830,25835.25,25826,25833.5,400
1767829500,25832,25834,25818.75,25822.75,574
1767830400,25822.75,25825.75,25815.25,25822,613
1767831300,25822,25828.25,25805.75,25810.5,1046
1767832200,25810.5,25835.75,25810,25833.25,1207
1767833100,25834.5,25843.5,25833.25,25842.5,743
1767834000,25842,25844.5,25817,25818.5,1365
1767834900,25820,25839,25819.25,25837,898
1767835800,25837.5,25837.5,25820.75,25834.5,797
1767836700,25835,25840.25,25831.25,25837.75,603
1767837600,25837,25840.5,25826.25,25827.25,776
1767838500,25826.75,25832.75,25820,25824.75,711
1767839400,25825.5,25827.5,25795.25,25797.5,1325
1767840300,25799.5,25800.75,25774,25786.25,1706
1767841200,25786.5,25795.25,25777.75,25789.75,1038
1767842100,25790.25,25793.75,25779.5,25784.25,744
1767843000,25784.75,25790.5,25774.5,25775.75,797
1767843900,25775.25,25781.75,25769.75,25776.75,547
1767844800,25776.25,25785.5,25773.75,25783.25,437
1767845700,25783.5,25794,25775,25784,625
1767846600,25783.5,25785.75,25773.75,25775.5,501
1767847500,25777,25781.5,25772.75,25778.5,339
1767848400,25779.25,25784.75,25759.25,25760.25,825
1767849300,25760.25,25768,25759,25763.5,680
