time,open,high,low,close,Volume
1762819200,4113.11,4119.78,4107.4,4119.76,9.66583
1762822800,4127.06,4135.47,4118.85,4127.32,54.81868
1762826400,4126.73,4132.1,4113.14,4130.29,75.70914
1762830000,4130.29,4135.49,4127.29,4129.26,45.77377
1762833600,4129.48,4136.78,4129.35,4132.18,21.22143
1762837200,4132.18,4132.73,4111.82,4116.69,22.50513
1762840800,4114.03,4122.85,4112.45,4117.92,14.97289
1762844400,4119.15,4124.6,4113.93,4120.7,10.2506
1762848000,4118.06,4128.61,4118.06,4128.61,7.48466
1762851600,4127.7,4136.99,4127.7,4133.89,4.56166
1762855200,4132.36,4137.46,4126.98,4133.54,11.38302
1762858800,4132.81,4136.8,4131.76,4134.3,1.70419
1762862400,4134.3,4134.71,4124.58,4124.58,4.51431
1762866000,4125.72,4138.2,4124.97,4134.44,5.61168
1762869600,4134.44,4135.09,4112.14,4114.96,9.00281
1762873200,4115.37,4116.97,4085.25,4095.22,34.22537
1762876800,4095.27,4104.31,4095.2,4104.31,5.65434
1762880400,4103.32,4106.52,4099.6,4101.44,3.67719
1762884000,4100.23,4101.65,4091.5,4099.32,6.23525
1762887600,4097.67,4111.53,4097.02,4109.74,2.53507
1762891200,4114,4117.04,4110.35,4113.59,6.41212
1762894800,4110.55,4116.13,4109.78,4111.09,2.06159
1762898400,4108.81,4113.11,4102.16,4113.11,2.97427
1762902000,4115.74,4131.68,4114.09,4127.2,5.52714
1762905600,4127.06,4129.74,4112.11,4117.09,30.60093
1762909200,4116.72,4124.06,4114.96,4120.55,14.55865
1762912800,4123.78,4123.97,4110.03,4112.74,11.2866
1762916400,4110.82,4113.45,4102.34,4102.34,11.09524
1762920000,4102.92,4102.93,4095.18,4100,2.7923
1762923600,4098.36,4098.36,4088.63,4093.51,4.55235
1762927200,4091.87,4105.02,4091.87,4103.6,5.86413
1762930800,4102.85,4112.05,4101.09,4103.66,8.38215
1762934400,4104.49,4120.61,4101.05,4118.29,6.31803
1762938000,4118.8,4120,4113.4,4113.4,0.31073
1762941600,4111.61,4118.08,4109.53,4114.3,7.6943
1762945200,4117.85,4121.03,4112.54,4115.24,2.43437
1762948800,4118.03,4127.77,4117.59,4120.54,3.84656
1762952400,4119.24,4122.43,4113.75,4116.35,3.20129
1762956000,4118.91,4129.17,4117.12,4126.88,9.04784
1762959600,4126.45,4175.6,4125.08,4167.29,48.51124
1762963200,4170.71,4185,4167.45,4183.37,29.00469
1762966800,4185.95,4195.53,4181.23,4190.8,15.38458
1762970400,4191.14,4204.79,4176.88,4196.77,34.7568
1762974000,4196.77,4196.97,4182.59,4185.14,17.52828
1762977600,4184.75,4187.18,4176.82,4179.98,59.1194
1762981200,4178.19,4185.34,4173.11,4182,30.78177
1762984800,4184.89,4185.3,4177.4,4181.69,11.34087
1762988400,4184.16,4190.81,4174.87,4178.35,28.43897
1762992000,4177.5,4194.31,4173.39,4191.96,4.47249
1762995600,4190.47,4190.47,4169.92,4178.71,7.74807
1762999200,4178.46,4183.34,4170.06,4176.36,21.81466
1763002800,4179.58,4198.26,4179.58,4198.09,18.40798
