time,open,high,low,close,Volume
1762790400,165.96,167.05,165.25,166.1,198.317
1762794000,166.15,168.43,165.99,167.82,226.251
1762797600,168.01,168.01,165.82,165.82,143.924
1762801200,165.97,167.64,165.65,167.11,183.881
1762804800,167.29,168.31,166.81,167.85,190.265
1762808400,167.56,167.56,164.9,165.39,438.273
1762812000,165.52,167.77,165.31,167.55,416.494
1762815600,167.78,168.09,167.18,167.5,162.103
1762819200,167.36,167.66,166.01,167.59,284.364
1762822800,167.67,170.98,166.64,167.48,893.176
1762826400,167.41,170.97,166.3,170.35,893.659
1762830000,170.31,171.91,169.52,169.95,1226.049
1762833600,170.03,170.04,166.58,166.93,997.936
1762837200,166.93,166.93,165.07,165.14,902.148
1762840800,165.22,165.25,163.7,164.98,1203.232
1762844400,165.01,165.16,163.9,164.01,726.611
1762848000,164.13,164.78,163.62,163.96,277.884
1762851600,163.86,164.93,163.16,164,429.148
1762855200,163.88,164.31,162.85,163.7,952.625
1762858800,163.82,164.51,163.21,163.39,914.608
1762862400,163.61,164.3,162.66,163.27,825.904
1762866000,163.47,163.83,162.46,162.87,467.986
1762869600,162.89,163.22,161.16,162.93,1501.898
1762873200,162.96,162.96,160.07,160.91,1976.694
1762876800,160.89,161.19,159.77,160.67,1687.356
1762880400,160.81,161.04,158.32,159.56,1116.936
1762884000,159.63,159.76,158.38,158.94,563.703
1762887600,158.72,158.72,157.43,157.63,911.171
1762891200,157.39,157.84,156.4,156.68,483.666
1762894800,156.73,157.4,155.67,156.06,936.948
1762898400,156.04,157.22,155.53,156.68,953.926
1762902000,156.67,156.82,153.96,154.61,558.622
1762905600,154.77,155.26,153.68,153.9,380.327
1762909200,153.88,155.44,153.73,155.44,773.421
1762912800,155.42,155.52,153.82,154.38,337.813
1762916400,154.27,154.96,153.95,154.53,524.626
1762920000,154.34,155.03,154.2,154.86,220.962
1762923600,155.01,156.01,154.97,155.66,520.852
1762927200,155.4,156.39,155.4,156,383.134
1762930800,155.93,156.46,154.9,154.98,377.716
1762934400,155.29,158.11,155.28,158.02,957.191
1762938000,157.83,158.88,157.77,158.09,435.161
1762941600,158.5,160.46,158.49,160.41,869.488
1762945200,160.41,161.09,159.52,159.95,198.263
1762948800,159.8,160.7,159.12,159.9,491.893
1762952400,159.66,161.02,158.96,160.54,444.976
1762956000,160.39,160.95,157.28,158.57,763.244
1762959600,158.83,159.45,155.26,155.39,940.257
1762963200,155.63,155.97,152.22,152.81,990.08
1762966800,152.82,154.68,152.37,153.34,658.99
1762970400,153.71,154.21,152.85,152.85,717.993
1762974000,152.75,153.53,151.24,153,877.59
1762977600,152.92,154.62,152.64,153.79,652.501
1762981200,153.73,154.25,153.35,154.12,657.085
1762984800,154.1,154.1,152.75,153.61,2107.768
1762988400,152.91,153.75,152.9,153.38,352.845
1762992000,153.4,154.36,152.51,153.03,469.25
1762995600,152.99,154.28,152.4,152.72,624.96
1762999200,152.74,153.28,152.66,152.88,383.714
1763002800,152.81,155.7,150.43,154.35,1329.934
1763006400,154.42,154.87,153.47,154.37,578.421
1763010000,154.14,156.7,153.79,156.3,711.163
1763013600,156.3,157.04,155.8,156.75,472.932
1763017200,156.7,157.18,154.89,155.28,845.428
1763020800,155.36,156.49,155.03,155.96,460.202
1763024400,155.88,155.88,154,155.24,389.897
1763028000,155.31,156.13,154.95,155.45,233.331
1763031600,155.49,156.43,155.49,156.34,488.613
1763035200,156.28,156.95,155.8,156.38,426.686
1763038800,156.43,156.44,153.71,153.84,748.443
1763042400,153.95,156.7,152.33,155.29,1320.86
1763046000,154.98,155.6,152.52,153.12,995.192
1763049600,153.03,153.35,150.79,151.11,990.237
1763053200,151.18,151.21,146.84,147.08,2545.061
1763056800,146.95,147.75,144.56,145.46,1700.388
1763060400,145.45,146.18,142.25,142.59,1501.305
1763064000,142.52,143.19,141.14,142.85,3266.661
1763067600,142.76,143.71,141.27,142.14,957.715
1763071200,141.94,144.83,141.8,144.6,611.535
1763074800,144.21,146.23,143.97,144.61,606.12
1763078400,144.46,145.27,142.96,143.25,637.949
1763082000,143.17,144.52,142.81,143.83,439.466
1763085600,143.83,145.64,143.83,145.44,332.231
